"City of Merri-bek, Households renting social housing, 2021, Enumerated,Percentage of: Total households",
"SA1","Number","Percent (%)","Households",
"20607114302","25","18.5%","135",
"21003123601","0","0.0%","235",
"21003123602","0","0.0%","223",
"21003123603","0","0.0%","194",
"21003123604","0","0.0%","228",
"21003123606","37","25.3%","146",
"21003123607","41","25.9%","158",
"21003123608","3","2.8%","107",
"21003123609","0","0.0%","87",
"21003123610","3","1.2%","252",
"21003123611","0","0.0%","130",
"21003123612","0","0.0%","112",
"21003123613","0","0.0%","152",
"21003123614","7","4.2%","165",
"21003123615","0","0.0%","236",
"21003123616","0","0.0%","91",
"21003123617","0","0.0%","110",
"21003123618","19","3.3%","583",
"21003123702","0","0.0%","206",
"21003123703","0","0.0%","187",
"21003123704","0","0.0%","180",
"21003123705","0","0.0%","178",
"21003123706","9","3.9%","228",
"21003123707","4","1.6%","244",
"21003123708","3","1.4%","207",
"21003123709","16","10.3%","155",
"21003123710","6","3.3%","180",
"21003123712","0","0.0%","206",
"21003123714","0","0.0%","162",
"21003123715","0","0.0%","256",
"21003123716","0","0.0%","206",
"21003123717","0","0.0%","162",
"21003123718","0","0.0%","210",
"21003123719","0","0.0%","124",
"21003123720","8","5.7%","141",
"21003123721","0","0.0%","179",
"21003123722","0","0.0%","209",
"21003123723","0","0.0%","128",
"21003123724","0","0.0%","117",
"21003123725","0","0.0%","103",
"21003123726","0","0.0%","162",
"21003123727","6","4.0%","150",
"21003123728","0","0.0%","154",
"21003123729","8","5.1%","157",
"21003123730","0","0.0%","144",
"21003123731","4","3.1%","131",
"21003143901","0","0.0%","190",
"21003143902","0","0.0%","324",
"21003143903","0","0.0%","129",
"21003143905","0","0.0%","116",
"21003143906","0","0.0%","229",
"21003143907","0","0.0%","129",
"21003144001","0","0.0%","263",
"21003144002","0","0.0%","133",
"21003144003","0","0.0%","141",
"21003144004","0","0.0%","92",
"21003144005","0","0.0%","190",
"21003144006","0","0.0%","159",
"21003144008","3","1.9%","159",
"21003144009","0","0.0%","135",
"21003144010","7","4.7%","148",
"21003144011","4","3.1%","130",
"21003144012","0","0.0%","209",
"21003144013","0","0.0%","139",
"21003144014","42","30.7%","137",
"21003144015","0","0.0%","178",
"21003144016","0","0.0%","121",
"21003144017","0","0.0%","117",
"21003153502","0","0.0%","215",
"21003153503","0","0.0%","104",
"21003153504","4","2.2%","179",
"21003153505","16","7.1%","226",
"21003153506","23","14.1%","163",
"21003153507","0","0.0%","106",
"21003153508","44","28.4%","155",
"21003153509","13","8.1%","161",
"21003153510","10","3.4%","293",
"21003153511","0","0.0%","197",
"21003153512","0","0.0%","159",
"21003153513","6","3.0%","200",
"21003153514","23","13.6%","169",
"21003153515","0","0.0%","145",
"21003153516","27","19.9%","136",
"21003153517","0","0.0%","118",
"21003153518","0","0.0%","213",
"21003153519","0","0.0%","126",
"21003153520","0","0.0%","181",
"21003153521","49","26.1%","188",
"21003153522","0","0.0%","164",
"21003153523","0","0.0%","266",
"21003153524","0","0.0%","215",
"21003153525","26","18.7%","139",
"21003153527","0","0.0%","101",
"21003153528","0","0.0%","133",
"21003153529","0","0.0%","190",
"21003153530","0","0.0%","176",
"21003153531","4","2.8%","143",
"21003153532","0","0.0%","155",
"21003153533","21","11.6%","181",
"21003153534","16","15.7%","102",
"21003153535","0","0.0%","105",
"21003153536","3","1.8%","167",
"21003153601","10","4.3%","231",
"21003153602","3","2.5%","119",
"21003153603","0","0.0%","185",
"21003153604","0","0.0%","194",
"21003153605","4","1.9%","206",
"21003153606","0","0.0%","259",
"21003153607","7","2.3%","298",
"21003153608","7","4.1%","170",
"21003153609","0","0.0%","121",
"21003153610","0","0.0%","113",
"21003153611","5","2.6%","190",
"21003153612","0","0.0%","204",
"21003153613","7","2.1%","337",
"21003153614","0","0.0%","147",
"21003153615","4","1.7%","234",
"21003153616","0","0.0%","279",
"21003153701","0","0.0%","255",
"21003153702","0","0.0%","249",
"21003153703","0","0.0%","143",
"21003153704","0","0.0%","219",
"21003153705","0","0.0%","218",
"21003153706","0","0.0%","314",
"21003153707","0","0.0%","194",
"21003153708","0","0.0%","325",
"21003153709","0","0.0%","84",
"21003153710","21","7.9%","267",
"21003153711","0","0.0%","164",
"21003153712","5","1.7%","288",
"21003153713","0","0.0%","156",
"21003153714","0","0.0%","147",
"21003153715","0","0.0%","102",
"21003153801","0","0.0%","183",
"21003153802","0","0.0%","186",
"21003153803","0","0.0%","207",
"21003153804","0","0.0%","119",
"21003153805","0","0.0%","161",
"21003153806","4","1.4%","278",
"21003153807","0","0.0%","210",
"21003153808","0","0.0%","167",
"21003153809","3","1.2%","257",
"21003153810","0","0.0%","209",
"21003153811","0","0.0%","178",
"21003153812","0","0.0%","137",
"21003153813","20","26.7%","75",
"21003153814","0","0.0%","133",
"21003153815","0","0.0%","138",
"21003153816","9","3.2%","280",
"21003153817","0","0.0%","181",
"21003153818","0","0.0%","133",
"21003153819","0","0.0%","114",
"21003153820","6","2.2%","268",
"21003153821","6","2.6%","231",
"21003153822","0","0.0%","173",
"21003153823","0","0.0%","172",
"21003153824","0","0.0%","176",
"21003153825","0","0.0%","173",
"21003153826","0","0.0%","163",
"21003153827","4","1.9%","209",
"21003153828","3","1.7%","181",
"21003153829","0","0.0%","293",
"21003153830","0","0.0%","238",
"21003153831","0","0.0%","164",
"21003153832","0","0.0%","227",
"21003153833","0","0.0%","165",
"21003153834","0","0.0%","357",
"21003153835","16","6.5%","248",
"21003153836","0","0.0%","147",
"21003153837","5","3.1%","161",
"Source: Australian Bureau of Statistics, Census of Population and Housing, 2021 (Enumerated data). Compiled and presented in atlas.id by .id (informed decisions). Note: Due to changes in the ABS rules regarding perturbation of small numbers to protect the confidentiality of individuals in 2016, the totals of all SA1s in an area may not equal the total derived from the area as a whole.",
